file_path,genre,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29
data\blues\blues.00000.wav,blues,-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973775,-8.32241,8.8067875,-3.6658025,5.745939,-5.161711,0.750298,-1.6883581,-0.4093285,-2.298869,1.2199471,-3.538389,-1.1400294,-4.289415,-4.2328043,0.9163248,0.91654843,-5.763323,-3.930225,1.5080732,2.695646
data\blues\blues.00001.wav,blues,-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.2378328,4.217125,-6.0110474,0.93266803,-0.7170279,0.2923333,-0.28571695,0.5321443,-4.090439,-1.2404464,-2.842691,-4.355886,3.2582967,1.2023576,-0.033780172,-0.05927892,3.9833682,-0.45062888
data\blues\blues.00002.wav,blues,-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.775921,9.700466,-13.115349,5.7857633,-8.899733,-1.0870236,-9.216774,2.4536483,-7.721793,-1.8164973,-3.4343534,-2.2313912,-4.049148,-0.5699653,-2.0112383,-5.386919,-5.123237,-7.8055515,-1.1680624,-0.20640011,1.3844019,-3.0061822
data\blues\blues.00003.wav,blues,-199.462,150.09474,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.0853534,-2.4761882,-1.0762246,-2.8760564,0.77690876,-3.3200555,0.63726276,-0.6175069,-3.40694,-1.5005991,-0.055320293,-1.8619187,-4.710597,-3.9226365,-6.6537876,-2.9067204,-3.231801,-0.27208948,-3.8174036
data\blues\blues.00004.wav,blues,-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.5005232,-11.80477,1.2038777,-13.085074,-2.8098488,-6.935621,-7.5592937,-9.172152,-4.5104084,-5.4537363,-0.92446774,-4.408076,-11.701833,-5.8597016,-0.7184288,0.95112574,-1.2276793,4.565906,0.28962687,-1.2837689,-4.488457,-0.40812585,0.27564165
data\blues\blues.00005.wav,blues,-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401844,-11.773799,-2.426076,-9.342486,-9.947082,-3.9053469,-5.568541,-1.8399693,-2.7841752,-3.046112,-8.115228,-2.467844,-1.7123965,-4.2795463,-4.6385307,-2.3284316,0.924153,4.378612,5.194026,5.694819,2.529238
data\blues\blues.00006.wav,blues,-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711618,-6.5008707,-5.515623,-7.8452888,-3.123599,-6.595716,-9.947578,-6.540925,-10.071381,-10.912119,-6.970003,-3.4485128,-6.4984574,-7.1202984,-7.1363893,-5.2854896,-4.5902853,-3.2386985,-2.8989835,1.4235084,2.9203234,2.1177702,-1.4764496
data\blues\blues.00007.wav,blues,-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956977,-3.5483484,-8.051683,-8.9604845,-8.421077,-10.5585985,-10.790193,-4.7007947,-8.638816,-11.0275755,-10.391632,-1.8577002,-1.4492539,-3.1238863,-1.183795,-3.6141505,-3.2580407,-0.6348768,0.8947242
data\blues\blues.00008.wav,blues,-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739911,5.064209,-5.173075,-1.446995,-7.036928,2.6948745,3.4093323,-2.6991909,-4.2705674,-0.6270919,-4.287083,-13.3744335,-8.27833,-2.0942795,10.5590105,2.9193022,-1.0299448,-0.7499114
data\blues\blues.00009.wav,blues,-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101023,4.283337,-6.044196,3.7863674,0.22368738,-5.114481,-0.4145367,-1.1848985,-1.9183391,-2.2957964,2.89123,-4.234533,1.5900459,2.461061,-0.9093402,1.8585109,5.0403576,0.7727143,5.6455097,0.441474,-0.91098523,-2.213618
